source1,source2,translation
情况,qíng kuàng,circumstances
请假,qǐng jià,to request leave of absence
请客,qǐng kè,to give a dinner party
穷,qióng,exhausted
区别,qū bié,difference
取,qǔ,to take
全部,quán bù,whole
缺点,quē diǎn,weak point
缺少,quē shǎo,lack
却,què,but
确实,què shí,indeed
群,qún,group
然而,rán ér,however
热闹,rè nao,bustling with noise and excitement
人民币,rén mín bì,Renminbi (RMB)
任何,rèn hé,any
任务,rèn wu,mission
扔,rēng,to throw
仍然,réng rán,still
日记,rì jì,diary
入口,rù kǒu,entrance
软,ruǎn,soft
散步,sàn bù,to take a walk
森林,sēn lín,forest
沙发,shā fā,sofa
商量,shāng liang,to consult
伤心,shāng xīn,to grieve
稍微,shāo wēi,a little bit
社会,shè huì,society
深,shēn,close
申请,shēn qǐng,to apply for sth
甚至,shèn zhì,even
生活,shēng huó,life
生命,shēng mìng,life
省,shěng,to save
剩,shèng,to remain
失败,shī bài,to be defeated
失望,shī wàng,disappointed
师傅,shī fu,master
湿润,shī rùn,moist
狮子,shī zi,lion
十分,shí fēn,to divide into ten equal parts
实际,shí jì,actual
实在,shí zài,really
食品,shí pǐn,foodstuff
使用,shǐ yòng,to use